season,team1,team2,result,winner
2013,Sunrisers Hyderabad,Pune Warriors,normal,Sunrisers Hyderabad
2013,Rajasthan Royals,Delhi Daredevils,normal,Rajasthan Royals
2013,Mumbai Indians,Chennai Super Kings,normal,Mumbai Indians
2013,Pune Warriors,Kings XI Punjab,normal,Kings XI Punjab
2013,Royal Challengers Bangalore,Sunrisers Hyderabad,tie,Sunrisers Hyderabad
2013,Rajasthan Royals,Kolkata Knight Riders,normal,Rajasthan Royals
2013,Mumbai Indians,Delhi Daredevils,normal,Mumbai Indians
2013,Kings XI Punjab,Chennai Super Kings,normal,Chennai Super Kings
2013,Kolkata Knight Riders,Royal Challengers Bangalore,normal,Royal Challengers Bangalore
2013,Rajasthan Royals,Pune Warriors,normal,Pune Warriors
2013,Delhi Daredevils,Sunrisers Hyderabad,normal,Sunrisers Hyderabad
2013,Mumbai Indians,Pune Warriors,normal,Mumbai Indians
2013,Royal Challengers Bangalore,Chennai Super Kings,normal,Chennai Super Kings
2013,Kolkata Knight Riders,Sunrisers Hyderabad,normal,Kolkata Knight Riders
2013,Kings XI Punjab,Rajasthan Royals,normal,Rajasthan Royals
2013,Pune Warriors,Chennai Super Kings,normal,Pune Warriors
2013,Kings XI Punjab,Kolkata Knight Riders,normal,Kings XI Punjab
2013,Delhi Daredevils,Royal Challengers Bangalore,tie,Royal Challengers Bangalore
2013,Sunrisers Hyderabad,Pune Warriors,normal,Sunrisers Hyderabad
2013,Rajasthan Royals,Mumbai Indians,normal,Rajasthan Royals
2013,Chennai Super Kings,Delhi Daredevils,normal,Chennai Super Kings
2013,Kings XI Punjab,Sunrisers Hyderabad,normal,Sunrisers Hyderabad
2013,Kolkata Knight Riders,Chennai Super Kings,normal,Chennai Super Kings
2013,Rajasthan Royals,Royal Challengers Bangalore,normal,Royal Challengers Bangalore
2013,Mumbai Indians,Delhi Daredevils,normal,Delhi Daredevils
2013,Pune Warriors,Kings XI Punjab,normal,Kings XI Punjab
2013,Rajasthan Royals,Chennai Super Kings,normal,Chennai Super Kings
2013,Royal Challengers Bangalore,Pune Warriors,normal,Royal Challengers Bangalore
2013,Kings XI Punjab,Delhi Daredevils,normal,Kings XI Punjab
2013,Kolkata Knight Riders,Mumbai Indians,normal,Mumbai Indians
2013,Sunrisers Hyderabad,Chennai Super Kings,normal,Chennai Super Kings
2013,Kings XI Punjab,Kolkata Knight Riders,normal,Kolkata Knight Riders
2013,Sunrisers Hyderabad,Rajasthan Royals,normal,Rajasthan Royals
2013,Mumbai Indians,Royal Challengers Bangalore,normal,Mumbai Indians
2013,Chennai Super Kings,Kolkata Knight Riders,normal,Chennai Super Kings
2013,Delhi Daredevils,Pune Warriors,normal,Delhi Daredevils
2013,Royal Challengers Bangalore,Rajasthan Royals,normal,Rajasthan Royals
2013,Mumbai Indians,Kings XI Punjab,normal,Mumbai Indians
2013,Chennai Super Kings,Pune Warriors,normal,Chennai Super Kings
2013,Mumbai Indians,Sunrisers Hyderabad,normal,Sunrisers Hyderabad
2013,Kolkata Knight Riders,Delhi Daredevils,normal,Delhi Daredevils
2013,Chennai Super Kings,Kings XI Punjab,normal,Chennai Super Kings
2013,Royal Challengers Bangalore,Pune Warriors,normal,Royal Challengers Bangalore
2013,Rajasthan Royals,Kolkata Knight Riders,normal,Kolkata Knight Riders
2013,Delhi Daredevils,Sunrisers Hyderabad,normal,Sunrisers Hyderabad
2013,Royal Challengers Bangalore,Kings XI Punjab,normal,Kings XI Punjab
2013,Mumbai Indians,Chennai Super Kings,normal,Mumbai Indians
2013,Pune Warriors,Rajasthan Royals,normal,Rajasthan Royals
2013,Sunrisers Hyderabad,Royal Challengers Bangalore,normal,Royal Challengers Bangalore
